MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,28145,1,4651848,4651848,4651848,4651848,4651848
NC,28434,1,137212,137212,137212,137212,137212
NC,27509,1,441501,441501,441501,441501,441501
NC,27921,1,294725,294725,294725,294725,294725
NC,27968,1,447412,447412,447412,447412,447412
NC,28231,1,305828,305828,305828,305828,305828
NC,28356,1,336,336,336,336,336
NC,28657,1,391512,391512,391512,391512,391512
NC,28676,1,485161,485161,485161,485161,485161
NC,28678,1,338530,338530,338530,338530,338530
NC,28685,1,323134,323134,323134,323134,323134
NC,28774,1,412364,412364,412364,412364,412364
NC,28528,1,386065,386065,386065,386065,386065
NC,27203,1,4998159,4998159,4998159,4998159,4998159
NC,27928,1,283030,283030,283030,283030,283030
NC,28106,1,2782112,2782112,2782112,2782112,2782112
NC,27283,1,279105,279105,279105,279105,279105
NC,27357,1,457789,457789,457789,457789,457789
NC,27865,1,304340,304340,304340,304340,304340
NC,28080,1,1748590,1748590,1748590,1748590,1748590
NC,28112,1,464405,464405,464405,464405,464405
NC,28682,1,450994,450994,450994,450994,450994
NC,28788,1,711095,711095,711095,711095,711095
NC,27016,1,470680,470680,470680,470680,470680
NC,27054,1,229318,229318,229318,229318,229318
NC,27429,1,13554981,13554981,13554981,13554981,13554981
NC,27690,1,1188792,1188792,1188792,1188792,1188792
NC,27695,1,1133590,1133590,1133590,1133590,1133590
NC,27812,1,677609,677609,677609,677609,677609
NC,27860,1,70498,70498,70498,70498,70498
NC,27883,1,302184,302184,302184,302184,302184
NC,27964,1,115000,115000,115000,115000,115000
NC,28021,1,309484,309484,309484,309484,309484
NC,28222,1,1886892,1886892,1886892,1886892,1886892
NC,28230,1,381744,381744,381744,381744,381744
NC,28266,1,901063,901063,901063,901063,901063
NC,28395,1,972264,972264,972264,972264,972264
NC,28439,1,664616,664616,664616,664616,664616
NC,28459,1,3396496,3396496,3396496,3396496,3396496
NC,28466,1,546216,546216,546216,546216,546216
NC,28478,1,164249,164249,164249,164249,164249
NC,28508,1,292858,292858,292858,292858,292858
NC,28523,1,323754,323754,323754,323754,323754
NC,28525,1,1998069,1998069,1998069,1998069,1998069
NC,28547,1,392769,392769,392769,392769,392769
NC,28603,1,3389303,3389303,3389303,3389303,3389303
